job,company,location,salary,exp
Product Manager,VocaGame,Surabaya,IDR5.000.000 - 7.000.000,Kurang dari setahun
Marketing Specialist,Mitramas Infosys Global,"Tebet, Jakarta",IDR5.500.000 - 6.000.000,Kurang dari setahun
Java Developer,Adiwisista Finansial Teknologi,Bandung,IDR10.000.000 - 15.000.000,1 – 3 tahun
Brand Manager,PT. Casa Verde Indonesia (OT Group),"Cengkareng, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
Product Engineer (Mobile - Flutter),Zero One Group,Jakarta,IDR7.000.000 - 15.000.000,1 – 3 tahun
3D Artist (Texture Modeller Generalist) or 3D Animator,Xii Braves / Century Game,Jakarta,IDR8.000.000 - 16.000.000,3 – 5 tahun
Social Media Advertiser,PT GARUDA MENTARI INDONESIA,Grogol,IDR3.500.000 - 4.000.000,1 – 3 tahun
Regional Business Development Manager,PT Easybook Indonesia,Semarang,IDR4.000.000 - 5.000.000,5 – 10 tahun
Front-End Developer,Lingotalk,Jakarta,IDR500.000,Kurang dari setahun
Graphic Designer for Retail,JVS Group Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Back End Developer,Bali United Football Club,"Kebon Jeruk, Jakarta",IDR100 - 200,1 – 3 tahun
Business Developer Executive,SwipeRx,Jakarta,Company prefers not to disclose,1 – 3 tahun
Account Manager,Yoona Digital Indonesia,Jakarta,Company prefers not to disclose,1 – 3 tahun
Partnership Specialist,Riliv,Surabaya,IDR100 - 200,1 – 3 tahun
Graphic Design Manager,CarbonEthics,Bekasi,Company prefers not to disclose,3 – 5 tahun
Project Manager,Pt. Trawlbens Teknologi Anak Indonesia,"Tebet, Jakarta",Company prefers not to disclose,3 – 5 tahun
Partnership Supervisor,PT Cerdas Digital Nusantara (CAKAP),Jakarta,Company prefers not to disclose,3 – 5 tahun
Head of Product and Customer Operations,PT. Koltiva,Jakarta,Company prefers not to disclose,3 – 5 tahun
Office Manager,PT Prakasa Makmur Kencana,"Kelapa Gading, Jakarta",Company prefers not to disclose,3 – 5 tahun
Mobile (iOS) Application Developer,ProSpark,Jakarta,Company prefers not to disclose,5 – 10 tahun
Finance Associate,PT Prakasa Makmur Kencana,"Kelapa Gading, Jakarta",Company prefers not to disclose,3 – 5 tahun
